42556	46.6
42555	48.65
42554	49.01
42552	48.99
42551	48.33
42550	49.88
42549	47.85
42548	46.33
42545	47.64
42544	50.11
42543	49.13
42542	48.85
42541	49.37
42538	47.98
42537	46.21
42536	48.01
42535	48.49
42534	48.88
42531	49.07
42530	50.56
42529	51.23
42528	50.36
42527	49.69
42524	48.62
42523	49.17
42522	49.01
42521	49.1
42520	49.51
42519	49.58
42517	49.33
42516	49.48
42515	49.56
42514	48.62
42513	48.08
42510	47.75
42509	48.16
42508	48.19
42507	48.31
42506	47.72
42503	46.21
42502	46.7
42501	46.23
42500	44.66
42499	43.44
42496	44.66
42495	44.32
42494	43.78
42493	43.65
42492	44.78
42489	45.92
42488	46.03
42487	45.33
42486	44.04
42485	42.64
42482	43.73
42481	43.18
42480	42.63
42479	41.08
42478	39.78
42475	40.36
42474	41.5
42473	41.76
42472	42.17
42471	40.36
42468	39.72
42467	37.26
42466	37.75
42465	35.89
42464	35.7
42461	36.79
42460	38.34
42459	38.32
42458	38.28
42457	39.39
42453	39.46
42452	39.79
42451	41.45
42450	39.91
42447	39.44
42446	40.2
42445	38.46
42444	36.34
42443	37.18
42440	38.5
42439	37.84
42438	38.29
42437	36.5
42436	37.9
42433	35.92
42432	34.57
42431	34.66
42430	34.4
42429	33.75
42426	32.78
42425	33.07
42424	32.15
42423	31.87
42422	31.48
42419	29.64
42418	30.77
42417	30.66
42416	29.04
42415	30.6
42414	29.08
42412	29.44
42411	26.21
42410	27.45
42409	27.94
42408	29.69
42405	30.89
42404	31.72
42403	32.28
42402	29.88
42401	31.62
42398	33.62
42397	33.22
42396	32.3
42395	31.45
42394	30.34
42391	32.19
42390	29.53
42389	26.55
42388	28.46
42387	30.02
42386	29.75
42384	29.42
42383	31.2
42382	30.48
42381	30.44
42380	31.41
42377	33.16
42376	33.27
42375	33.97
42374	35.97
42373	36.76
42369	37.04
42368	36.6
42367	37.87
42366	36.81
42362	38.1
42361	37.5
42360	36.14
42359	34.74
42356	34.73
42355	34.95
42354	35.52
42353	37.35
42352	36.31
42349	35.62
42348	36.76
42347	37.16
42346	37.51
42345	37.65
42342	39.97
42341	41.08
42340	39.94
42339	41.85
42338	41.65
42335	41.71
42334	42.59
42333	43.04
42332	42.87
42331	41.75
42328	40.39
42327	40.54
42326	40.75
42325	40.67
42324	41.74
42321	40.74
42320	41.75
42319	42.93
42318	44.21
42317	43.87
42314	44.29
42313	45.2
42312	46.32
42311	47.9
42310	46.14
42307	46.59
42306	46.06
42305	45.94
42304	43.2
42303	43.98
42300	44.6
42299	45.38
42298	45.2
42297	45.55
42296	45.89
42293	47.26
42292	46.38
42291	46.64
42290	46.66
42289	47.1
42286	49.63
42285	49.43
42284	47.81
42283	48.53
42282	46.26
42279	45.54
42278	44.74
42277	45.09
42276	45.23
42275	44.43
42272	45.7
42271	44.91
42270	44.48
42269	45.83
42268	46.68
42265	44.68
42264	46.9
42263	47.15
42262	44.59
42261	44
42258	44.63
42257	45.92
42256	44.15
42255	45.94
42254	44.7
42253	45.72
42251	46.05
42250	46.75
42249	46.25
42248	45.41
42247	49.2
42244	45.22
42243	42.56
42242	38.6
42241	39.31
42240	38.24
42237	40.45
42236	41.14
42235	40.8
42234	42.62
42233	41.87
42230	42.5
42229	42.23
42228	43.3
42227	43.08
42226	44.96
42223	43.87
42222	44.66
42221	45.15
42220	45.74
42219	45.17
42216	47.12
42215	48.52
42214	48.79
42213	47.98
42212	47.39
42209	48.14
42208	48.45
42207	49.19
42206	50.36
42205	50.15
42202	50.89
42201	50.91
42200	51.41
42199	53.04
42198	52.2
42195	52.74
42194	52.78
42193	51.65
42192	52.33
42191	52.53
42188	55.52
42187	56.93
42186	56.96
42185	59.47
42184	58.33
42181	59.63
42180	59.7
42179	60.27
42178	61.01
42177	59.68
42174	59.61
42173	60.45
42172	59.92
42171	59.97
42170	59.52
