37319	2.0083						
37320	1.9917						
37321	2.0508						
37322	2.1375						
37323	2.2033						
37326	2.2525						
37327	2.3650						
37328	2.3317						
37329	2.3650						
37330	2.3408						
37333	2.3175						
37334	2.3783						
37335	2.4320						
37336	2.3883						
37337	2.5683						
37340	3.2050						
37341	2.9917						
37342	2.8517						
37348	2.8875						
37349	2.9033						
37350	2.8000						
37351	2.6733						
37354	2.7042						
37355	2.7467						
37356	2.7708						
37357	2.7883						
37358	2.8592						
37361	2.9233						
37362	2.8533						
37363	2.8050						
37364	2.9117						
37365	3.1167						
37375	3.0217						
37376	2.9167						
37378	3.0358						
37379	3.1600						
37382	3.1633						
37383	3.1717						
37384	3.1863						
37385	3.1800						
37386	3.1767						
37389	3.2667						
37390	3.2557						
37391	3.2250						
37392	3.2228						
37393	3.3300						
37396	3.5167						
37397	3.4933						
37398	3.4208						
37399	3.3883						
37400	3.4283						
37403	3.4483						
37404	3.4517						
37405	3.5433						
37406	3.5917						
37407	3.5750						
37410	3.5942						
37411	3.6083						
37412	3.6267						
37413	3.6367						
37414	3.6300						
37417	3.5325						
37418	3.4558						
37419	3.4450						
37420	3.4717						
37421	3.5043						
37425	3.5078						
37426	3.5362						
37427	3.5833						
37428	3.6360						
37431	3.7058						
37432	3.8500						
37433	3.8675						
37434	3.8092						
37435	3.8037						
37438	3.7912						
37439	3.6900						
37440	3.5767						
37441	3.5558						
37442	3.5667						
37445	3.5317						
37447	3.5303						
37448	3.5550						
37449	3.5875						
37452	3.5933						
37453	3.5907						
37454	3.4967						
37455	3.5417						
37456	3.5845						
37459	3.5978						
37460	3.6383						
37461	3.6450						
37462	3.6267						
37463	3.6558						
37466	3.6500						
37467	3.6508						
37468	3.7008						
37469	3.6333						
37470	3.6150						
37473	3.6163						
37474	3.6208						
37475	3.6278						
37476	3.6408						
37477	3.6367						
37480	3.6200						
37481	3.6108						
37482	3.6325						
37483	3.6417						
37484	3.6392						
37488	3.6300						
37489	3.5983						
37490	3.5817						
37491	3.6042						
37494	3.6183						
37495	3.6258						
37496	3.6050						
37497	3.6117						
37498	3.6250						
37501	3.6280						
37502	3.6330						
37503	3.6368						
37504	3.6247						
37505	3.6092						
37508	3.6092						
37509	3.6183						
37510	3.6100						
37511	3.6237						
37512	3.6297						
37515	3.6393						
37516	3.6342						
37517	3.6317						
37518	3.6508						
37519	3.6580						
37522	3.6492						
37523	3.6583						
37524	3.6650						
37525	3.6678						
37526	3.7010						
37529	3.7267						
37530	3.7417						
37531	3.7608						
37532	3.7508						
37533	3.7397						
37536	3.7560						
37537	3.7422						
37538	3.7150						
37539	3.6907						
37540	3.7052						
37544	3.6792						
37545	3.6120						
37546	3.5742						
37547	3.5938						
37550	3.6100						
37551	3.6150						
37552	3.6002						
37553	3.6033						
37554	3.6060						
37557	3.5900						
37558	3.5792						
37559	3.5532						
37560	3.5232						
37561	3.5182						
37564	3.5410						
37565	3.5367						
37567	3.5395						
37568	3.5343						
37571	3.5422						
37572	3.5292						
37573	3.5303						
37574	3.5358						
37575	3.5317						
37578	3.5270						
37579	3.5127						
37580	3.5123						
37581	3.5067						
37582	3.5023						
37585	3.5047						
37586	3.4795						
37587	3.4882						
37588	3.5425						
37589	3.5962						
37592	3.5875						
37593	3.5372						
37594	3.5285						
37595	3.5188						
37596	3.5307						
37599	3.5333						
37600	3.5268						
37601	3.5065						
37602	3.4975						
37603	3.5088						
37606	3.5365						
37607	3.5380						
37608	3.5118						
37609	3.4792						
37610	3.4748						
37613	3.4700						
37614	3.4467						
37616	3.4128						
37617	3.3967						
37620	3.3885						
37621	3.3630						
37623	3.3625						
37624	3.3328						
37627	3.3290						
37628	3.2888						
37629	3.2935						
37630	3.3143						
37631	3.3533						
37634	3.3450						
37635	3.3037						
37636	3.2275						
37637	3.2438						
37638	3.2440						
37641	3.1933						
37642	3.1328						
37643	3.0633						
37644	3.1200						
37645	3.1733						
37648	3.2592						
37649	3.3433						
37650	3.3350						
37651	3.2400						
37652	3.1817						
37655	3.1983						
37656	3.1567						
37657	3.1533						
37658	3.1458						
37659	3.1517						
37662	3.1458						
37663	3.1017						
37664	3.0848						
37665	3.1167						
37666	3.1908						
37669	3.1617						
37670	3.1585						
